2 148 1.0
2 149 13.0
2 150 323.0
2 151 409.0
2 152 23.0
2 153 1.0
2 154 6.0
2 155 35.0
2 156 904.0
2 157 1838.0
2 158 65.0
2 159 475.0
2 160 5.0
2 163 55.0
2 167 4.0
2 169 8.0
2 170 6.0
2 171 2.0
2 172 39.0
2 174 2.0
2 175 9.0
2 176 9.0
2 177 386.0
2 178 1.0
3 4 3410.0
3 5 2499.0
3 6 150.0
3 13 3855.0
3 14 179.0
3 15 2990.0
3 16 323.0
3 17 361.0
3 19 55.0
3 20 1.0
3 21 2.0
3 23 2.0
3 25 1.0
3 28 2.0
3 29 31.0
3 30 45.0
3 31 731.0
3 33 88.0
3 35 3.0
3 42 1.0
3 46 989.0
3 48 12.0
3 49 17.0
3 50 446.0
3 67 2.0
3 75 7.0
3 76 7.0
3 77 4.0
3 85 2.0
3 91 2.0
3 97 1.0
3 103 10.0
3 104 1.0
3 105 1.0
3 107 32.0
3 110 3.0
3 119 86.0
3 120 12.0
3 121 284.0
3 122 2.0
3 123 1.0
3 125 62.0
3 126 131.0
3 127 2.0
3 128 30.0
3 129 23.0
3 130 7.0
3 131 8.0
3 132 24.0
3 133 25.0
3 134 11.0
3 135 185.0
3 136 19.0
3 137 43.0
3 138 25.0
3 139 31.0
3 140 4.0
3 141 7.0
3 142 7038.0
3 143 38.0
3 145 124.0
3 146 39.0
3 149 3.0
3 151 21.0
3 152 4506.0
3 153 5.0
3 158 6.0
3 159 1.0
3 161 1.0
3 163 1.0
3 167 26.0
3 169 7.0
3 171 7.0
3 172 69.0
3 175 17.0
3 176 17.0
3 177 15.0
3 178 15.0
4 5 15806.0
4 6 6376.0
4 7 509.0
4 12 2.0
4 13 6845.0
4 14 132.0
4 15 1158.0
4 16 726.0
4 17 269.0
4 18 468.0
4 19 184.0
4 20 427.0
4 21 153.0
4 22 371.0
4 23 165.0
4 25 4.0
4 29 47.0
4 30 147.0
4 31 777.0
4 33 11.0
4 37 5.0
4 38 5.0
4 39 5.0
4 44 7.0
4 45 3.0
4 46 194.0
4 47 1.0
4 50 274.0
4 62 1.0
4 66 4.0
4 67 11.0
4 68 8.0
4 69 1.0
4 70 6.0
4 71 6.0
4 72 23.0
4 75 40.0
4 76 42.0
4 77 43.0
4 81 1.0
4 82 1.0
4 85 4.0
4 87 10.0
4 88 62.0
4 89 10.0
4 90 102.0
4 91 115.0
4 92 62.0
4 93 99.0
4 94 38.0
4 100 6.0
4 102 1.0
4 103 192.0
4 106 38.0
4 107 396.0
4 108 1.0
4 110 134.0
4 111 75.0
4 112 117.0
4 114 1.0
4 115 1.0
4 118 2.0
4 119 275.0
4 120 34.0
4 121 1687.0
4 122 23.0
4 123 124.0
4 124 77.0
4 125 937.0
4 126 209.0
4 127 54.0
4 128 633.0
4 129 2696.0
4 130 1801.0
4 131 114.0
4 132 575.0
4 133 496.0
4 134 97.0
4 135 296.0
4 136 55.0
4 137 90.0
4 138 488.0
4 139 524.0
4 140 2.0
4 141 16.0
4 142 2833.0
4 143 81.0
4 145 78.0
4 146 50.0
4 147 1.0
4 148 2.0
4 151 39.0
4 152 1781.0
4 153 192.0
4 154 108.0
4 155 24.0
4 156 138.0
4 157 465.0
4 158 523.0
4 159 121.0
4 160 112.0
4 161 3.0
4 163 309.0
4 166 9.0
4 167 363.0
4 168 1.0
4 169 60.0
4 170 18.0
4 171 33.0
4 172 224.0
4 173 35.0
4 174 35.0
4 175 229.0
4 176 787.0
4 177 680.0
4 178 283.0
5 6 9498.0
5 7 692.0
5 13 7397.0
5 14 47.0
5 15 1410.0
5 16 1174.0
5 17 302.0
5 18 666.0
5 19 386.0
5 20 766.0
5 21 500.0
5 22 613.0
